measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
2025-09-11 17:59:18.212,70.55,20.65,4.69,1.2,1.04,1.27,1.08,0.74,0.79,81.65,1.11,1.69,0.26,9.13,8.21,0.07,61.16,42.09,3.79,1.51,2.89,40.94,40.12,5.27,0.72,0.65,0.7,0.84,0.64,118.64,110.01,90.7,62.53,35.5,14.46,10.39,28.14,23.76,6.11,6.06,4.94,3.76,62.25,124.75
2025-09-11 17:59:18.462,70.55,21.05,4.89,1.85,1.61,1.68,1.57,0.82,1.03,82.88,1.73,2.3,0.46,9.79,8.7,0.32,61.77,42.7,4.2,1.92,3.16,41.15,40.74,5.63,0.92,0.94,0.91,0.88,0.85,119.86,111.64,89.89,63.35,35.29,13.85,10.39,25.9,23.15,6.11,6.06,4.61,3.67,62.25,124.75
2025-09-11 17:59:18.712,70.96,20.85,5.09,1.93,1.86,1.68,1.24,1.07,0.71,80.43,1.93,2.91,0.46,9.95,8.7,0.07,61.57,42.7,4.2,2.53,3.34,41.97,40.12,5.79,0.84,0.81,0.87,0.76,0.69,119.86,105.12,89.89,64.57,35.7,14.46,11.0,26.72,24.38,6.27,6.14,4.86,3.8,62.25,124.75
2025-09-11 17:59:18.961,71.77,20.85,4.89,1.77,1.77,1.68,1.24,0.82,0.95,82.47,1.32,2.71,0.67,10.03,8.94,-0.09,61.77,41.68,3.59,2.73,3.42,41.97,39.92,5.96,0.8,0.81,0.82,0.72,0.73,120.26,107.16,89.07,64.98,35.9,14.67,10.79,24.27,25.4,6.11,6.14,4.61,3.72,62.25,124.75
2025-09-11 17:59:19.212,68.91,20.04,3.67,1.44,1.21,1.27,0.67,0.9,0.63,81.65,1.32,2.1,0.05,9.54,8.78,-0.01,61.36,42.29,2.36,1.92,3.5,40.53,41.96,6.08,0.72,0.77,0.78,0.72,0.73,118.24,119.79,91.11,65.39,36.51,14.67,10.79,24.67,24.38,6.44,5.97,4.61,3.72,62.25,124.75
2025-09-11 17:59:19.462,70.55,20.44,4.48,1.36,1.13,1.35,0.92,0.82,0.87,82.06,1.32,2.1,0.46,9.95,9.35,0.24,61.36,42.09,2.98,2.33,3.54,41.15,40.53,6.16,0.8,0.69,0.74,0.6,0.69,120.26,107.57,91.52,66.21,36.11,15.28,11.61,24.67,25.81,6.44,6.14,4.86,3.84,62.25,124.75
2025-09-11 17:59:19.711,70.14,20.44,4.48,1.04,1.13,1.19,1.0,0.99,1.03,82.88,0.91,1.89,0.26,10.36,9.19,-0.01,60.75,42.29,3.59,1.71,3.48,40.74,38.9,6.32,0.68,0.85,0.82,0.84,0.89,120.67,121.02,90.29,63.75,35.7,14.26,10.79,26.1,27.03,6.52,6.22,4.78,3.8,62.25,124.75
2025-09-11 17:59:19.970,69.73,19.43,3.67,0.88,0.4,0.78,0.59,0.5,0.55,78.79,-0.32,1.08,-0.15,10.11,8.78,-0.09,59.73,40.25,1.55,0.49,3.36,40.33,39.51,6.2,0.63,0.69,0.66,0.56,0.52,119.45,109.2,90.29,64.57,36.72,15.49,10.39,26.51,27.03,6.52,6.18,4.7,3.76,62.25,124.75
2025-09-11 17:59:20.211,69.73,19.83,4.08,0.88,0.56,0.86,0.51,0.66,0.71,80.84,0.7,1.28,0.26,10.11,9.19,-0.01,60.75,41.07,2.57,0.9,3.36,40.74,39.31,6.28,0.68,0.61,0.74,0.8,0.64,119.05,118.16,91.52,66.62,37.74,16.51,11.2,27.12,29.28,6.44,6.1,4.7,3.76,62.25,124.75
2025-09-11 17:59:20.462,72.18,20.65,4.48,1.2,0.88,1.1,1.08,0.66,0.79,81.25,1.32,2.1,0.87,10.52,9.11,0.16,60.75,40.25,2.98,1.31,3.42,41.35,39.51,6.36,0.8,0.81,0.74,0.68,0.6,120.67,112.46,94.37,67.85,38.96,17.73,11.0,28.96,30.1,6.52,6.42,4.86,3.67,62.25,124.75
2025-09-11 17:59:20.739,71.77,19.63,3.06,0.63,0.64,0.61,0.67,0.5,0.55,77.98,-0.32,0.67,-1.17,9.7,8.78,-0.17,59.12,40.04,1.96,0.69,3.24,39.51,38.28,6.2,0.59,0.61,0.58,0.51,0.56,118.64,115.31,93.15,67.85,39.77,18.35,9.98,25.9,29.28,6.35,6.14,4.66,3.59,62.25,124.75
2025-09-11 17:59:20.961,70.96,19.63,3.87,1.12,0.96,0.94,1.16,0.82,1.2,81.65,0.91,1.69,0.67,10.44,9.43,0.4,60.55,41.68,2.57,1.71,3.42,41.35,38.28,6.53,0.96,0.9,0.82,0.72,0.81,121.07,111.64,96.41,70.71,41.81,19.98,11.0,29.57,28.67,6.84,6.26,4.74,3.76,62.25,124.75
2025-09-11 17:59:21.212,69.73,18.81,2.45,1.04,0.8,0.94,0.92,0.74,0.87,80.02,0.5,1.08,-0.15,10.27,9.35,0.24,60.34,41.07,3.18,0.69,3.56,40.94,40.12,6.44,0.84,0.69,0.74,0.76,0.69,121.07,118.57,96.0,71.94,41.4,20.8,11.81,27.33,29.69,6.44,6.26,4.86,3.76,62.25,124.75
2025-09-11 17:59:21.462,71.77,19.63,4.08,1.2,0.96,1.27,1.08,0.99,1.03,81.25,1.32,2.1,0.26,10.6,9.51,0.24,60.55,42.7,3.99,2.94,3.83,41.56,39.92,6.89,0.84,0.85,0.78,0.76,0.85,121.07,122.24,97.23,71.12,41.81,21.21,12.63,28.35,29.28,6.6,6.18,4.78,3.76,62.25,124.75
2025-09-11 17:59:21.711,70.55,19.22,3.87,1.36,1.13,1.51,1.16,1.07,1.03,82.06,1.73,1.69,0.26,11.01,9.84,0.32,60.75,41.47,3.79,1.92,4.03,40.94,41.35,7.05,0.76,0.98,0.78,0.8,0.77,121.48,120.2,96.0,69.9,40.99,19.17,12.42,27.74,30.3,6.68,6.3,4.9,3.84,62.25,124.75
2025-09-11 17:59:21.962,70.55,19.43,3.87,1.28,1.29,1.51,1.32,1.07,1.03,80.43,1.52,2.3,0.67,11.33,9.84,0.24,61.57,41.68,4.6,1.92,4.42,41.56,39.92,7.42,0.88,0.98,0.91,0.84,0.85,121.07,112.46,94.37,67.44,39.57,18.55,13.64,28.35,29.69,6.68,6.22,4.9,3.76,62.25,124.75
2025-09-11 17:59:22.212,68.91,18.81,2.65,1.28,1.13,1.43,0.92,0.99,0.95,80.43,1.11,2.1,0.46,11.42,10.08,0.16,60.95,41.27,3.38,1.1,4.64,40.94,39.72,7.66,0.92,0.81,0.82,0.72,0.6,121.07,114.09,93.15,66.21,38.35,17.33,13.44,28.96,29.08,6.44,6.3,4.82,3.76,62.25,124.75
2025-09-11 17:59:22.461,70.55,19.43,3.87,1.28,1.45,1.51,1.16,1.07,1.03,82.88,1.11,2.71,1.07,11.99,10.33,0.24,61.16,42.5,2.98,2.33,4.75,41.35,39.31,7.91,0.8,0.98,0.91,0.72,0.64,120.26,116.53,93.15,67.03,38.14,17.33,13.24,30.59,30.3,6.92,6.38,4.7,3.76,62.25,124.75
2025-09-11 17:59:22.712,70.96,19.63,3.67,1.69,1.45,1.43,1.08,1.15,0.95,82.06,1.93,2.51,1.07,12.23,10.57,0.24,61.16,42.29,3.38,2.53,4.93,40.53,39.92,8.23,0.92,0.73,0.91,0.76,0.69,121.48,115.31,93.15,67.03,37.94,16.1,13.64,30.39,32.55,7.01,6.58,4.82,3.72,62.25,124.75
2025-09-11 17:59:22.962,70.96,19.43,3.87,1.44,1.45,1.76,1.16,1.07,1.2,81.25,1.52,2.51,0.26,12.48,10.49,0.32,60.34,41.68,2.77,2.12,5.01,41.15,40.74,8.44,0.92,0.81,0.82,0.84,0.77,121.48,116.53,91.93,66.62,36.51,15.69,13.24,29.98,31.12,6.92,6.63,4.66,3.72,62.25,124.75
2025-09-11 17:59:23.211,69.32,18.61,3.26,1.36,1.29,1.43,1.16,0.82,0.87,79.61,1.52,1.89,0.05,12.31,10.33,-0.01,59.52,41.07,2.98,1.71,4.81,40.94,39.31,8.27,0.88,0.85,0.87,0.8,0.77,122.29,111.64,90.7,64.16,35.5,15.49,12.42,29.16,26.42,7.09,6.75,4.78,3.72,62.25,124.75
2025-09-11 17:59:23.462,70.55,19.83,3.87,1.69,1.69,1.68,1.32,1.07,1.11,80.43,2.34,2.71,0.05,12.23,10.65,0.24,61.16,42.29,3.79,2.53,4.46,40.53,39.72,8.31,0.88,0.9,0.95,0.88,0.89,120.26,119.79,91.11,64.98,35.5,14.87,12.22,29.98,27.03,7.33,6.95,4.78,3.8,62.25,124.75
2025-09-11 17:59:23.742,70.96,19.22,3.26,1.44,1.37,1.51,0.67,0.66,0.55,77.98,0.91,1.28,-0.56,11.09,9.92,-0.58,59.93,40.45,1.96,1.1,4.05,40.74,39.31,7.46,0.47,0.69,0.62,0.43,0.48,119.45,105.94,87.85,61.3,33.87,13.24,11.2,28.55,25.6,6.92,6.63,4.61,3.63,62.25,124.75
2025-09-11 17:59:23.961,71.36,19.63,3.87,2.01,1.86,1.92,1.32,1.23,1.2,81.25,1.73,2.91,0.46,11.33,10.0,0.32,61.57,42.29,4.2,2.53,3.91,41.35,40.53,7.38,0.96,0.77,0.95,0.8,0.69,120.26,112.05,91.52,63.75,34.48,13.85,11.4,29.78,27.65,7.01,6.58,4.78,3.67,62.25,124.75
2025-09-11 17:59:24.212,69.73,19.02,3.47,1.61,1.53,1.35,1.0,0.66,0.87,80.43,0.91,2.1,0.05,10.85,9.76,-0.01,59.73,41.68,2.77,1.71,3.58,40.94,39.72,6.81,0.68,0.85,0.74,0.56,0.6,120.67,106.35,90.29,63.75,35.29,13.85,11.2,28.76,28.06,7.01,6.58,4.66,3.84,62.25,124.75
2025-09-11 17:59:24.462,70.14,19.43,3.87,1.77,1.69,1.59,0.92,0.99,1.11,81.25,1.93,2.71,0.87,10.44,9.59,0.4,60.34,42.09,3.59,2.12,3.5,40.74,40.12,6.73,0.84,0.81,0.78,0.96,0.77,120.67,107.57,90.7,63.35,36.11,14.26,11.4,29.57,27.65,7.01,6.54,4.66,3.59,62.25,124.75
2025-09-11 17:59:24.712,71.36,19.63,3.47,1.69,1.45,1.43,1.24,1.15,1.11,81.25,1.73,2.71,0.87,10.44,9.43,0.32,60.75,41.68,3.79,2.12,3.3,41.15,41.15,6.32,0.8,0.85,0.87,0.84,0.73,121.48,111.24,90.29,64.98,34.48,13.85,11.2,30.39,26.42,6.84,6.46,4.74,3.67,62.25,124.75
2025-09-11 17:59:24.962,70.14,19.43,3.67,1.61,1.37,1.35,1.0,1.07,1.03,81.65,1.52,2.71,0.87,10.36,9.27,0.32,60.34,41.88,3.59,2.53,3.22,40.94,39.1,6.24,1.0,0.85,0.78,0.72,0.6,121.48,113.68,90.29,64.98,34.89,14.67,11.0,28.14,27.85,6.68,6.42,4.74,3.76,62.25,124.75
2025-09-11 17:59:25.219,66.46,17.8,3.06,1.44,1.37,1.35,1.0,0.66,0.63,79.2,1.11,1.69,-0.35,9.7,9.19,0.64,62.18,43.52,4.6,4.77,3.32,41.97,41.76,6.08,0.8,0.85,0.74,0.6,0.56,119.05,109.61,86.62,62.12,34.89,12.83,9.37,27.53,25.19,6.03,6.14,4.49,3.51,62.25,124.75
2025-09-11 17:59:25.470,68.5,18.61,3.06,1.52,1.21,1.35,1.0,0.74,0.79,79.2,1.11,1.28,-1.17,9.38,8.46,-0.25,59.52,40.66,2.16,1.31,3.03,40.12,38.49,5.83,0.92,1.06,1.11,1.08,1.13,125.53,119.79,93.96,66.21,37.13,15.28,10.59,27.12,27.65,5.7,6.01,4.53,3.43,62.25,124.75
2025-09-11 17:59:25.790,69.32,19.02,3.47,1.28,1.04,1.27,1.0,0.5,0.71,80.84,0.5,1.28,-0.35,9.62,8.37,0.07,61.16,42.09,2.77,1.92,3.18,40.94,40.74,5.79,0.76,0.77,0.87,0.76,0.77,119.45,115.31,90.29,66.62,35.9,14.87,10.18,28.14,27.85,6.19,6.01,4.57,3.59,62.25,124.75
2025-09-11 17:59:25.961,69.73,19.02,3.47,1.52,1.29,1.43,1.32,1.07,1.28,81.65,1.93,2.1,0.26,9.95,8.7,0.16,61.16,42.29,2.77,2.12,3.28,41.35,39.1,5.96,0.96,0.77,0.91,0.84,0.81,119.86,120.61,91.93,64.57,36.72,15.49,10.79,26.31,24.99,6.27,6.06,4.66,3.59,62.25,124.75
2025-09-11 17:59:26.212,70.14,18.81,3.47,1.44,1.13,1.27,1.16,0.9,1.11,81.25,1.52,1.89,0.67,10.03,9.11,0.32,61.36,41.88,3.38,1.51,3.26,41.15,42.99,5.83,0.8,0.85,0.82,0.72,0.73,121.48,110.42,91.52,65.39,36.31,15.49,10.79,29.16,27.24,6.35,6.22,4.66,3.8,62.25,124.75
2025-09-11 17:59:26.462,69.73,18.41,3.47,1.61,1.45,1.43,1.4,1.15,0.79,82.06,0.91,2.1,0.46,10.03,8.94,0.32,60.95,41.47,3.79,1.51,3.26,41.76,40.12,6.08,0.8,0.9,0.82,0.72,0.64,121.48,115.31,90.7,65.39,34.89,14.67,10.39,29.98,26.42,6.44,6.3,4.74,3.67,62.25,124.75
2025-09-11 17:59:26.711,70.55,19.22,4.08,1.69,1.53,1.84,1.24,0.99,0.87,82.06,1.73,1.49,0.67,9.95,9.11,0.16,60.34,41.27,2.98,1.71,3.22,41.56,41.96,6.08,0.84,0.69,0.82,0.76,0.77,121.07,105.53,90.7,66.62,37.13,15.69,10.79,28.55,28.46,6.52,6.34,4.82,3.88,62.25,124.75
2025-09-11 17:59:26.962,70.96,19.63,4.08,1.85,1.61,1.59,1.0,0.9,0.95,80.84,2.13,2.51,0.46,10.19,9.02,0.24,60.55,41.47,2.77,2.33,3.32,41.97,41.56,6.24,0.92,0.81,0.87,0.84,0.73,121.48,118.98,91.93,67.85,37.53,16.92,10.18,28.76,29.28,6.6,6.3,4.74,3.8,62.25,124.75
2025-09-11 17:59:27.212,70.14,19.02,3.26,1.44,1.45,1.19,1.16,0.9,0.71,80.43,1.11,1.69,-0.15,10.11,9.11,0.16,60.14,40.86,2.98,2.12,3.28,41.56,40.33,6.08,0.76,0.81,0.78,0.68,0.56,120.26,110.42,91.52,67.44,37.74,15.89,10.18,28.76,25.81,6.44,6.38,4.7,3.76,62.25,124.75
2025-09-11 17:59:27.461,71.77,19.63,4.08,1.77,1.45,1.43,1.08,0.9,1.11,82.47,1.52,1.89,0.46,10.36,9.11,0.16,61.36,42.09,3.79,2.12,3.3,42.58,40.33,6.32,0.72,0.9,0.82,0.64,0.77,121.89,118.57,92.33,66.21,37.13,16.1,11.0,29.78,28.26,6.6,6.38,4.57,3.76,62.25,124.75
2025-09-11 17:59:27.741,71.77,19.22,3.26,1.2,0.8,1.1,0.83,0.58,0.63,79.2,0.09,0.87,-0.56,9.87,8.46,-0.5,60.75,41.47,2.36,0.9,3.22,40.53,38.49,5.87,0.59,0.53,0.58,0.64,0.48,120.26,110.42,89.07,62.94,35.7,14.26,9.78,27.74,27.03,6.19,6.1,4.53,3.63,62.25,124.75
2025-09-11 17:59:27.962,72.18,19.83,3.67,1.52,1.37,1.59,1.32,0.99,1.11,82.06,1.73,2.71,0.26,10.36,8.94,0.16,60.14,41.68,3.59,2.12,3.58,42.38,40.53,6.28,0.88,0.85,0.91,0.8,0.77,121.07,114.9,92.33,64.57,36.51,15.49,11.0,28.96,27.44,6.44,6.1,4.61,3.59,62.25,124.75
2025-09-11 17:59:28.212,70.14,19.83,3.47,1.36,1.21,1.35,1.32,0.99,1.11,81.65,1.52,1.89,0.87,10.44,9.27,0.24,60.75,41.88,2.36,2.73,3.73,41.97,40.33,6.4,0.88,0.85,0.87,0.84,0.77,120.67,111.64,92.33,66.21,38.55,16.3,11.0,29.37,26.62,6.35,6.18,4.82,3.76,62.25,124.75
2025-09-11 17:59:28.462,71.36,19.83,3.47,1.44,1.37,1.43,1.24,1.15,1.11,82.06,1.52,2.3,0.87,10.27,8.94,0.16,61.36,41.88,2.36,2.73,3.6,41.76,38.9,6.44,0.92,0.9,0.87,0.96,0.81,121.48,117.35,92.33,68.26,38.14,16.92,11.2,29.16,26.42,6.27,6.14,4.57,3.59,62.25,124.75
2025-09-11 17:59:28.739,70.55,19.83,3.26,1.28,1.21,1.35,1.08,0.66,0.71,80.43,0.5,0.87,-0.76,9.87,8.7,-0.25,61.16,41.47,2.57,1.1,3.38,40.74,38.28,6.16,0.59,0.61,0.7,0.64,0.52,119.45,123.87,91.52,66.62,37.33,16.1,10.39,28.14,25.4,6.03,6.01,4.41,3.47,62.25,124.75
2025-09-11 17:59:28.962,72.59,20.44,4.08,2.01,1.94,2.08,1.4,1.23,1.28,83.29,2.34,2.1,0.67,10.44,9.11,0.4,63.2,43.31,5.42,3.14,3.52,41.97,40.33,6.53,0.88,0.98,0.99,0.92,0.77,121.89,118.16,93.96,69.08,37.94,16.3,11.61,28.96,26.22,6.44,6.18,4.7,3.63,62.25,124.75
2025-09-11 17:59:29.212,72.18,20.04,3.87,1.93,1.94,1.68,1.4,1.07,1.2,82.88,1.93,2.51,0.46,10.68,9.27,0.32,62.79,43.31,3.99,3.14,3.64,41.56,39.92,6.57,0.96,1.02,0.91,0.84,0.81,124.32,121.02,92.33,67.03,37.53,15.89,11.61,26.51,27.85,6.68,6.26,4.7,3.67,62.25,124.75
2025-09-11 17:59:29.462,73.41,20.24,4.08,1.69,1.61,1.76,1.4,1.23,1.03,83.29,1.93,2.3,0.46,10.6,9.19,0.32,63.82,44.13,4.6,2.53,3.62,41.35,39.72,6.57,0.88,0.9,0.91,0.72,0.85,123.51,125.09,92.33,66.21,37.74,15.28,11.61,27.12,28.26,6.68,6.18,4.61,3.63,62.25,124.75
2025-09-11 17:59:29.711,72.59,20.44,4.28,1.52,1.37,1.43,0.92,0.82,1.2,83.7,1.93,2.3,0.46,10.6,9.35,0.32,63.0,43.52,4.81,2.73,3.5,41.15,41.56,6.69,0.88,0.81,0.82,0.8,0.81,123.1,117.76,91.93,64.98,36.51,15.49,11.2,27.94,29.08,6.6,6.38,4.74,3.8,62.25,124.75
2025-09-11 17:59:29.962,73.0,20.65,4.28,1.2,1.13,1.35,1.0,1.07,1.11,83.7,1.73,2.3,0.87,10.44,9.35,0.32,62.39,43.52,3.79,1.92,3.67,41.76,39.72,6.61,0.84,0.9,0.87,0.84,0.93,122.29,117.76,91.93,65.8,36.72,14.87,11.81,28.96,29.08,6.6,6.26,4.7,3.67,62.25,124.75
2025-09-11 17:59:30.212,70.14,19.83,3.47,1.2,0.96,1.1,1.08,0.5,0.71,81.25,1.11,1.89,0.46,10.52,8.94,0.24,61.57,42.29,4.2,1.71,3.77,41.15,38.69,6.53,0.96,0.9,0.87,0.72,0.77,122.7,110.42,92.33,65.39,37.94,15.28,10.79,29.98,28.67,6.44,6.18,4.7,3.63,62.25,124.75
2025-09-11 17:59:30.461,70.96,20.44,3.06,1.52,1.37,1.51,1.24,1.15,1.2,82.06,1.93,2.3,0.46,10.6,9.27,0.32,61.98,42.09,4.2,1.92,3.83,41.15,39.72,6.77,0.96,0.94,0.95,0.92,0.73,122.29,118.57,93.56,68.26,37.94,16.92,11.4,30.8,27.65,6.35,6.14,4.61,3.59,62.25,124.75
2025-09-11 17:59:30.742,70.14,19.43,3.26,0.88,0.88,1.19,0.51,0.58,0.63,79.61,0.3,0.87,-1.17,10.27,8.94,-0.33,60.75,41.47,2.57,1.1,3.83,39.71,36.85,6.48,0.63,0.65,0.74,0.64,0.6,121.07,114.9,91.93,64.57,36.92,15.49,10.59,29.98,23.56,6.03,5.89,4.49,3.51,62.25,124.75
2025-09-11 17:59:30.969,71.36,19.22,3.47,1.36,1.13,1.27,1.16,0.9,0.87,81.65,0.91,1.89,-0.15,10.36,9.43,0.16,60.95,42.29,2.77,1.71,3.93,40.94,38.49,6.73,0.84,0.81,0.78,0.88,0.77,122.7,116.94,92.33,67.44,37.94,16.3,11.4,31.0,29.69,6.44,6.14,4.57,3.51,62.25,124.75
2025-09-11 17:59:31.220,70.55,18.81,3.06,1.36,1.29,1.35,1.0,0.82,0.87,80.02,1.11,1.69,-0.15,10.27,9.19,0.07,60.95,41.27,2.98,1.51,3.99,40.94,38.28,6.77,0.88,0.81,0.78,0.8,0.64,122.7,118.98,92.74,67.03,38.96,17.53,11.4,31.0,29.08,6.35,6.1,4.45,3.55,62.25,124.75
2025-09-11 17:59:31.470,71.77,19.83,3.87,1.77,1.37,1.51,1.24,1.07,0.87,81.25,1.11,1.49,-0.15,10.27,9.19,-0.33,59.93,41.47,3.18,1.51,3.97,40.12,39.51,6.61,0.8,0.73,0.7,0.68,0.56,121.89,117.35,94.37,69.08,40.59,19.17,11.2,30.18,27.44,6.35,6.06,4.66,3.67,62.25,124.75
2025-09-11 17:59:31.718,70.96,19.83,3.47,1.69,1.29,1.35,1.08,0.9,1.03,81.25,1.32,1.89,-0.15,10.85,9.59,0.16,59.52,40.66,2.57,2.53,4.05,40.74,39.92,6.81,0.84,0.77,0.78,0.76,0.64,123.1,116.13,93.56,68.26,39.57,19.17,12.22,29.37,27.85,6.35,6.22,4.74,3.8,62.25,124.75
2025-09-11 17:59:31.962,70.55,20.04,3.47,1.61,1.61,1.68,1.49,1.07,1.11,81.25,1.73,2.51,0.67,11.17,9.68,0.24,60.55,41.88,3.18,2.33,4.11,41.56,39.1,7.01,0.88,0.9,0.87,0.72,0.89,123.51,116.94,94.78,67.44,39.37,18.35,12.42,30.59,29.69,6.68,6.26,4.82,3.76,62.25,124.75
2025-09-11 17:59:32.211,71.77,19.83,3.26,1.52,1.45,1.43,1.32,1.07,1.03,81.65,1.52,2.51,0.67,11.17,9.59,-0.01,60.75,42.09,3.18,2.12,4.09,41.76,39.31,7.05,0.88,0.81,0.78,0.76,0.69,122.7,114.09,92.74,68.26,39.98,18.14,13.03,33.24,30.71,6.6,6.46,5.02,3.84,62.25,124.75
2025-09-11 17:59:32.462,69.32,18.61,2.45,1.36,1.13,1.35,0.83,0.66,0.55,79.61,1.11,1.89,0.05,11.01,9.35,0.16,60.55,41.07,2.98,1.92,3.99,41.15,38.28,6.93,0.84,0.81,0.82,0.64,0.64,124.72,116.94,93.15,66.62,39.57,17.73,12.42,30.8,29.08,6.6,6.22,4.53,3.63,62.25,124.75
2025-09-11 17:59:32.744,68.09,17.59,1.64,0.55,0.64,0.78,0.51,0.17,0.38,78.39,-0.52,0.26,-1.17,10.03,8.46,-0.66,60.14,42.09,2.98,1.1,4.07,39.92,36.85,6.81,0.59,0.73,0.62,0.72,0.64,121.48,121.02,91.52,65.8,38.75,17.53,10.79,29.98,28.06,6.03,5.97,4.37,3.35,62.25,124.75
2025-09-11 17:59:32.961,72.18,18.0,2.65,1.28,0.8,1.19,1.0,0.9,0.71,81.25,1.32,2.1,0.26,11.09,9.11,0.07,60.95,42.7,3.18,1.1,4.34,41.15,39.1,7.05,0.72,0.81,0.74,0.56,0.77,122.7,125.09,96.82,72.76,42.83,20.8,14.66,31.41,31.12,6.92,6.58,5.06,4.04,62.25,124.75
2025-09-11 17:59:33.212,70.96,18.61,2.65,1.44,1.21,1.35,1.08,0.99,0.95,81.25,1.93,2.3,-0.15,11.33,9.43,0.07,61.16,42.7,3.18,1.51,4.52,40.94,39.72,7.42,0.76,0.81,0.74,0.76,0.64,124.32,110.01,94.37,69.9,40.99,20.8,14.05,34.06,30.3,6.84,6.58,5.06,4.21,62.25,124.75
