measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
2025-09-11 18:01:33.461,77.5,25.74,9.56,1.93,1.69,1.76,1.24,0.99,1.03,86.97,1.52,2.91,0.26,14.76,12.77,0.24,66.88,48.01,9.29,2.33,5.7,41.35,40.53,9.98,0.84,0.81,0.78,0.64,0.56,125.13,116.13,99.27,74.4,46.49,26.93,17.51,29.98,27.24,8.47,8.26,6.13,4.66,62.25,124.75
2025-09-11 18:01:33.739,76.68,24.92,9.16,1.44,1.13,1.51,1.08,0.66,0.71,85.33,0.91,1.28,-0.56,15.0,13.17,-0.33,65.86,47.2,8.07,2.12,5.85,39.92,39.31,10.31,0.59,0.65,0.62,0.64,0.56,123.91,112.05,97.23,71.12,43.85,24.89,17.3,30.39,27.03,8.63,8.42,6.04,4.62,62.25,124.75
2025-09-11 18:01:33.962,77.5,25.94,9.36,1.69,1.77,1.92,1.32,0.99,1.03,88.6,2.34,2.91,0.46,15.49,13.82,0.07,67.29,48.42,9.29,2.53,6.13,41.15,39.1,11.0,0.84,0.81,0.87,0.8,0.69,124.32,123.87,98.45,72.35,43.03,23.66,18.12,30.39,27.44,9.04,8.74,6.08,4.74,62.25,124.75
2025-09-11 18:01:34.211,77.91,25.94,8.95,1.44,1.53,1.51,1.16,0.9,0.71,86.97,1.52,1.89,-0.15,15.82,13.99,-0.09,68.11,48.22,8.68,2.33,6.44,40.53,39.92,11.08,0.88,0.85,0.82,0.72,0.77,125.13,116.53,96.82,71.94,42.01,22.85,17.91,30.39,26.83,9.45,8.74,6.13,4.74,62.25,124.75
2025-09-11 18:01:34.462,79.13,25.94,9.77,1.69,1.45,1.76,1.32,0.99,1.03,88.19,1.93,2.51,0.67,16.39,14.39,0.16,68.11,48.63,9.49,3.35,6.58,41.35,40.12,11.41,0.72,0.81,0.87,0.8,0.77,125.53,119.79,97.63,72.76,41.81,22.85,17.91,31.41,28.87,9.69,8.87,6.08,4.86,62.25,124.75
2025-09-11 18:01:34.740,78.32,25.74,9.16,1.36,1.29,1.27,0.51,0.41,0.47,84.92,0.7,1.28,-1.37,15.98,14.15,-0.42,65.65,45.97,7.45,1.1,6.46,39.92,38.28,11.32,0.55,0.49,0.54,0.47,0.48,121.89,116.94,94.78,69.9,42.01,22.85,17.91,29.37,28.46,9.45,8.91,6.13,4.7,62.25,124.75
2025-09-11 18:01:34.961,80.36,26.76,10.17,1.69,1.61,1.59,1.24,1.07,0.87,87.37,1.73,2.1,0.46,16.55,14.64,0.32,67.49,47.61,8.88,2.12,6.48,41.15,40.53,11.65,0.72,0.85,0.82,0.88,0.89,125.94,120.61,98.86,76.04,45.68,25.71,17.71,32.22,28.67,9.86,9.03,6.21,4.78,62.25,124.75
2025-09-11 18:01:35.212,79.95,26.76,9.36,1.52,1.37,1.59,1.0,0.82,0.87,87.37,0.91,1.89,0.05,16.31,14.39,0.07,66.47,48.01,8.47,1.71,6.09,40.74,39.72,11.32,0.76,0.81,0.78,0.72,0.77,125.13,122.65,98.45,72.76,44.46,24.69,17.3,32.43,30.71,10.02,9.07,6.21,4.74,62.25,124.75
2025-09-11 18:01:35.462,82.0,27.78,10.38,1.85,1.86,1.92,1.65,1.39,1.52,89.42,1.93,2.91,0.87,16.14,14.23,0.4,66.88,47.61,9.08,2.12,5.93,40.94,39.31,11.28,0.92,0.94,0.91,0.88,0.81,126.75,130.8,97.63,72.35,43.44,23.05,18.12,32.63,27.65,9.86,9.11,6.33,4.78,62.25,124.75
2025-09-11 18:01:35.711,80.77,26.96,9.97,1.44,1.21,1.59,1.16,1.07,1.11,87.37,2.13,2.51,1.07,15.9,14.15,0.32,66.68,47.2,8.68,2.53,5.83,41.35,40.94,10.92,0.92,0.81,0.87,0.92,0.81,127.97,119.39,98.04,72.76,41.81,21.62,17.71,32.63,28.87,9.94,9.19,6.13,4.74,62.25,124.75
